id,season,week,home_team,away_team,home_points,away_points,home_pregame_elo,away_pregame_elo,Margin
401426532,2022,1,Western Kentucky,Austin Peay,38.0,27.0,1684.0,,11.0
401405059,2022,1,Northwestern,Nebraska,31.0,28.0,1361.0,1636.0,3.0
401439512,2022,1,Florida Memorial University,Edward Waters,39.0,34.0,,,5.0
401413256,2022,1,UNLV,Idaho State,52.0,21.0,1300.0,,31.0
401413213,2022,1,Jacksonville State,Stephen F. Austin,42.0,17.0,,,25.0
401404146,2022,1,Utah State,UConn,31.0,20.0,1566.0,1117.0,11.0
401405058,2022,1,Illinois,Wyoming,38.0,6.0,1496.0,1497.0,32.0
401411090,2022,1,Florida State,Duquesne,47.0,7.0,1501.0,,40.0
401422922,2022,1,Mercer,Morehead State,63.0,13.0,,,50.0
401423448,2022,1,Alabama State,Howard,23.0,13.0,,,10.0
401426530,2022,1,Florida Atlantic,Charlotte,43.0,13.0,1427.0,1272.0,30.0
401411091,2022,1,North Carolina,Florida A&M,56.0,24.0,1555.0,,32.0
401426531,2022,1,UTEP,North Texas,13.0,31.0,1360.0,1426.0,-18.0
401409235,2022,1,New Mexico State,Nevada,12.0,23.0,1184.0,1564.0,-11.0
401403853,2022,1,Hawai'i,Vanderbilt,10.0,63.0,1432.0,1222.0,-53.0
401437007,2022,1,New Mexico Highlands,Eastern New Mexico,18.0,34.0,,,-16.0
401433043,2022,1,Southern Connecticut State,Shepherd,7.0,48.0,,,-41.0
401430722,2022,1,Greeneville,St. Augustine's,70.0,13.0,,,57.0
401421137,2022,1,Campbell,The Citadel,29.0,10.0,,,19.0
401416568,2022,1,Akron,St. Francis (PA),30.0,23.0,1096.0,,7.0
401418776,2022,1,Indiana State,North Alabama,17.0,14.0,,,3.0
401432134,2022,1,Clarion,West Liberty,14.0,21.0,,,-7.0
401430716,2022,1,Bluefield State,Johnson C Smith,35.0,34.0,,,1.0
401431542,2022,1,Michigan Tech,Wisconsin-Platteville,23.0,13.0,,,10.0
401431571,2022,1,Ashland,Notre Dame College,31.0,14.0,,,17.0
401431561,2022,1,Saginaw Valley State,West Virginia Wesleyan,72.0,0.0,,,72.0
401431978,2022,1,Chowan,Wilson,3.0,17.0,,,-14.0
401428480,2022,1,Wagner,Fordham,31.0,48.0,,,-17.0
401432987,2022,1,PennWest California,Fairmont State,35.0,15.0,,,20.0
401431517,2022,1,Quincy,Glenville State,15.0,44.0,,,-29.0
401424414,2022,1,Stony Brook,Rhode Island,14.0,35.0,,,-21.0
