game,week,prediction_error,predicted,actual,top_feature_1,shap_1,top_feature_2,shap_2,top_feature_3,shap_3,top_feature_4,shap_4,top_feature_5,shap_5
Incarnate Word @ Nicholls,1,23.451303005218502,4.048697,27.5,elo_vs_spread,4.2879853,matchup_efficiency,-1.3521492,hfa_diff,-0.9303333,elo_diff,0.4718289,home_last5_score_avg,0.45166865
Idaho State @ UNLV,1,18.037862300872803,-5.4621377,-23.5,elo_vs_spread,-4.7104883,line_movement,-2.461277,home_team_hfa,1.4839197,elo_diff,0.6733386,home_pregame_elo,-0.62734914
Tarleton State @ Portland State,1,23.934872210025787,-0.5651278,-24.5,elo_vs_spread,3.7861028,home_team_hfa,-2.526231,matchup_efficiency,-2.032656,hfa_diff,-1.6811833,expected_total,-0.53374535
Mercyhurst @ Youngstown State,1,15.609891295433044,0.6098913,-15.0,elo_vs_spread,-3.08593,home_team_hfa,1.6872157,elo_diff,0.67846346,hfa_diff,0.5991758,pass_efficiency_diff,0.49004656
Lindenwood @ St. Thomas (MN),1,24.448405265808105,4.0515947,28.5,elo_vs_spread,2.1617744,home_team_hfa,1.5250043,matchup_efficiency,-1.0286862,elo_diff,0.43258008,ats_diff,-0.38183042
West Georgia @ Samford,1,35.58591985702515,-1.9140801,-37.5,hfa_diff,-1.4120178,matchup_efficiency,-1.2127306,elo_vs_spread,-1.1877838,home_team_hfa,-0.53053653,pass_efficiency_diff,0.4239336
Alcorn State @ Northwestern State,1,20.51686617732048,-0.016866177,20.5,home_team_hfa,-3.8281412,elo_vs_spread,2.4544225,home_last5_score_avg,1.681702,matchup_efficiency,-1.5833311,hfa_diff,-1.1471729
New Haven @ Marist,1,25.00783920288086,-4.507839,20.5,home_team_hfa,-3.5547457,matchup_efficiency,-1.6918234,away_last5_defense_avg,-1.2662874,hfa_diff,-1.1733476,elo_vs_spread,1.131549
Georgetown @ Davidson,1,41.229180335998535,7.7291803,-33.5,hfa_diff,3.555709,elo_vs_spread,2.9790633,home_team_hfa,1.1781969,matchup_efficiency,-0.61541903,elo_diff,0.47231093
Fordham @ Boston College,1,17.447492122650146,3.5525079,21.0,matchup_efficiency,13.118982,elo_vs_spread,-4.3520746,home_comp_def_ppa,1.1766224,home_team_hfa,-0.9045504,large_favorite,-0.60633796
South Dakota @ Iowa State,1,20.32773208618164,11.172268,31.5,matchup_efficiency,11.499767,home_comp_off_ppa,3.3592958,elo_vs_spread,-1.5612868,pass_efficiency_diff,0.9803301,large_favorite,-0.8952909
New Hampshire @ North Carolina Central,1,21.820650696754456,0.3206507,-21.5,home_team_hfa,1.5822172,home_last5_defense_avg,-0.89007926,matchup_efficiency,-0.59693027,hfa_diff,0.5004168,elo_vs_spread,-0.48763472
Presbyterian @ Mercer,1,26.253337025642395,-1.246663,-27.5,elo_vs_spread,-2.9840267,home_team_hfa,1.9027032,away_last5_defense_avg,-1.0435271,elo_diff,0.6428383,hfa_diff,0.5127813
North Dakota @ Kansas State,1,15.836854934692385,-8.663145,-24.5,elo_vs_spread,-4.647836,elo_diff,-2.7654612,home_team_hfa,1.8570073,rest_favorite_interaction,-0.9295413,large_favorite,-0.7580109
Austin Peay @ Middle Tennessee,1,19.938587188720703,-14.561413,-34.5,matchup_efficiency,-6.574445,elo_vs_spread,-2.2684536,home_team_hfa,-1.3985397,hfa_diff,-1.0834509,large_favorite,-0.82882077
New Mexico @ Michigan,1,24.15224504470825,4.652245,-19.5,matchup_efficiency,12.1313925,elo_vs_spread,-9.679109,elo_diff,-1.2409837,large_favorite,-1.2148222,home_team_hfa,0.86944914
Cal Poly @ San Diego,1,32.03718948364258,6.5371895,-25.5,hfa_diff,4.2755017,home_team_hfa,1.4969075,elo_vs_spread,1.493041,matchup_efficiency,-0.5004657,elo_diff,0.43790773
Idaho State @ Southern Utah,1,15.649274349212646,1.8507257,17.5,home_team_hfa,1.9095185,hfa_diff,0.65827173,matchup_efficiency,-0.64960027,elo_vs_spread,-0.49064368,elo_diff,0.43367404
California @ Oregon State,1,20.654736638069156,-1.3452634,-22.0,matchup_efficiency,-3.9623811,home_team_hfa,0.92894626,home_comp_rush_ppa,-0.76451427,home_last5_score_avg,0.55532324,pass_efficiency_diff,0.36068302
New Haven @ Mercyhurst,2,29.78337574005127,-8.283376,21.5,elo_vs_spread,-1.6250528,hfa_diff,-1.5656866,away_last5_defense_avg,-1.3595766,matchup_efficiency,-1.1718606,home_team_hfa,-0.6934041
Illinois @ Duke,2,20.344809770584103,-3.1551902,-23.5,matchup_efficiency,-3.773396,home_team_hfa,1.4051645,elo_vs_spread,1.2804996,elo_diff,0.5710829,pass_efficiency_diff,-0.4758504
Liberty @ Jacksonville State,2,24.051154136657715,-8.051154,16.0,matchup_efficiency,-4.883444,elo_diff,-2.1622458,pass_efficiency_diff,-1.6017567,home_team_hfa,1.090875,elo_vs_spread,0.8742374
UAlbany @ Delaware State,2,17.14251372218132,0.35748628,17.5,home_team_hfa,-3.0551176,elo_vs_spread,2.8225052,matchup_efficiency,-1.5854533,hfa_diff,-0.8763465,home_last5_score_avg,0.52994704
Chattanooga @ Tennessee Tech,2,25.06263375282288,-2.5626338,22.5,matchup_efficiency,-0.93283236,home_last5_defense_avg,-0.8592804,elo_vs_spread,-0.76013386,home_team_hfa,-0.6391945,pass_efficiency_diff,0.4133156
Eastern Illinois @ Indiana State,2,27.90997886657715,-7.409979,20.5,home_team_hfa,-3.2553422,matchup_efficiency,-1.508435,hfa_diff,-1.0839014,elo_vs_spread,-0.5881918,home_ats,-0.41512892
