team,hfa_rating,raw_hfa,home_margin,away_margin,home_games,away_games,total_games
Virginia University Of Lynchburg,30.75,39.05882352941177,0.0,-39.05882352941177,0,34,34
Duquesne,25.329395604395607,30.292307692307695,17.6,-12.692307692307692,20,26,46
UT Rio Grande Valley,24.092207792207788,42.08571428571428,38.285714285714285,-3.8,7,5,12
Louisiana College,22.833333333333332,63.5,20.0,-43.5,1,4,5
Morehead State,21.66044372294372,25.825757575757578,4.909090909090909,-20.916666666666668,22,24,46
Arkansas-Pine Bluff,21.293636363636367,25.470000000000002,-0.65,-26.12,20,25,45
Houston Christian,21.259063852813856,25.337121212121215,3.0454545454545454,-22.291666666666668,22,24,46
Louisiana Tech,20.244827390737484,23.86622073578595,10.173913043478262,-13.692307692307692,23,26,49
UCF,20.183306180633338,23.650621118012424,15.607142857142858,-8.043478260869565,28,23,51
North American University,20.085526315789473,39.625,-28.0,-67.625,1,8,9
Carleton,19.790279269602575,24.223684210526315,15.75,-8.473684210526315,20,19,39
New Haven,19.694306521019534,23.692982456140353,24.526315789473685,0.8333333333333334,19,24,43
Wagner,19.301373626373625,22.953846153846154,-0.2,-23.153846153846153,20,26,46
Stephen F. Austin,19.028138528138527,22.62121212121212,21.954545454545453,-0.6666666666666666,22,24,46
Youngstown State,18.97823252650077,22.34113712374582,12.384615384615385,-9.956521739130435,26,23,49
Mississippi Valley State,18.682142857142853,22.2,-6.3,-28.5,20,26,46
Post University,18.59611344537815,22.831932773109244,-6.882352941176471,-29.714285714285715,17,21,38
Kent State,18.59064039408867,21.942857142857143,-2.95,-24.892857142857142,20,28,48
Tennessee,18.547065044949765,21.693548387096776,25.193548387096776,3.5,31,20,51
UTSA,18.403225806451612,21.46153846153846,17.346153846153847,-4.115384615384615,26,26,52
UNC Pembroke,18.238747028602102,21.815734989648032,23.38095238095238,1.565217391304348,21,23,44
Grambling,18.184591836734693,21.594285714285714,8.714285714285714,-12.88,21,25,46
Davidson,18.076028138528137,21.46212121212121,10.916666666666666,-10.545454545454545,24,22,46
Austin Peay,18.059115179252483,21.369565217391305,15.5,-5.869565217391305,24,23,47
Howard,17.92998700454841,21.212962962962962,11.25,-9.962962962962964,20,27,47
Eastern Washington,17.79187074829932,21.116190476190475,4.476190476190476,-16.64,21,25,46
Ball State,17.668555582348684,20.82867132867133,1.6363636363636365,-19.192307692307693,22,26,48
Texas Southern,17.662345679012347,21.108333333333334,8.4,-12.708333333333334,20,24,44
Minnesota,17.648711943793913,20.61904761904762,13.0,-7.619047619047619,30,21,51
Montana State,17.637162642045457,20.44034090909091,28.03125,7.590909090909091,32,22,54
Alabama,17.521956763553707,20.41079460269865,26.75862068965517,6.3478260869565215,29,23,52
Langston University,17.307692307692307,66.66666666666667,0.0,-66.66666666666667,0,3,3
